Category,Phrase,Words
Thing,14285,33764
Food and Drink,8490,24287
What Are You Doing,6509,27023
Phrase,6300,23370
Place,4613,11145
Event,3478,10130
Proper Name,3461,8611
People,2432,5363
Living Thing,2336,5123
Person,2224,4766
